項目別,意味別,備考,見出し,,音韻,トーン,品詞,ページ,分類,意味,同義語など,活用,語源,音変化,関連語,追加情報,例文１,訳１,例文２,訳２,例文３,訳３,,,,,,,,,,,,,,,,
1706,1,,んにるん,2,[Nnir-],A,(動詞),286,,死ぬ。「んぬん」とも。,,〔活用〕 んにらぬん〈死なない〉(否定) んにみるん〈死なせる〉(使役)んに〈死んで〉(連用) んぬん〈死んだ〉(完了) んにたん〈死んだ〉(過去) んにる〈死ぬ〉(連体) んにりゃ〈死めば〉(条件1) んにるば〈死めば〉(条件2) んにり〈死ね〉(命令) んにろ〈死のう〉(意志) んにんな〈死ぬな〉(禁止),(語源)日本 語シヌ〈死ぬ〉に対応。,[*sinu(r)->sine(r)->Nner->Nnir-],,,【例】まいさる いぬんき ぷいつぁりてぃ あがみてぃ んぬんでぃどぅ  んどぅ んさい,〈大きな犬に咬まれて子どもが死んだそうだ〉,いー=んに かた きーぶさたや、いー=うぐない きらぬとぅ ならぬん,〈善い死に方 をしたければ、善い行いをしなければならない〉,飛行機んか゚ うてぃんか゚ しゃ ‘とぅー まーしく んにどぅ=きる,〈飛行機が落ちたら人がたくさん 死ぬ〉,まいさる いぬんき ぷいつぁりてぃ あがみてぃ んぬんでぃ どぅ んどぅんさい,〈大きな犬に噛まれて子供が死んだそうだ〉,,,,,,,,,,,,,,
1715,1,,んぬん,3,[Nn-], ,(動詞),288,,(1)見る。,,〔活用〕 んなぬん〈見ない〉(否定) んなみるん〈見させる〉(使役)んに〈見て〉(連用) んにゃん〈見た〉(完了)んにたん〈見た〉(過去)んぬ〈見る〉(連体)んにゃ〈見れば〉(条件(1))んぬば〈見れば〉(条件(2))んに〈見ろ〉(命令)んの〈見よう〉(意志)んぬんな〈見るな〉(禁止),(語源)日本語ミル〈見る〉に対応。,,,,【例】どぅぐたい きーだたな てれび んに=ぶんすや,〈横になりながらテレビを観ている〉,たーん んに=ぶらぬんさー?,〈誰も見ていないね?〉 ,どぅながに ふち んにんでぃ でぃ,〈夜中に星を見に行こう〉,にち よーびぬ どぅさび ちま んにたな?,〈日曜日の夕方は相撲を観たか?〉,,,,,,,,,,,,,,
1689,1,,んどぅん,,[Nd-],B,(動詞),283,,言う。話す。伝える。,,〔活用〕 んだぬん〈言わない〉(否定)んだみるん〈言わせる〉(使役) んでぃ〈言って〉(連用) んでゃん〈言った〉(完了) んたん〈言った〉(過去) んどぅ〈言う〉(連体) んでゃ〈言えば〉(条件1) んどぅば〈言えば〉(条件2) んでぃ〈言え〉(命令) んど〈言おう〉(意志) んどぅんな〈言うな〉(禁止),(語源)与那国固有語か。,,,,【例】あぶたんき まーむに んでぃぶさん,〈お母さんに本当のことを言いたい〉,ばらさる くとぅ きーがらや うやんき んどぅんど,〈悪いことを したら親に言いつけるよ〉,かりんき むぬ んどぅん,〈彼にものを言う〉,,,,,,,,,,,,,,,,
1657,1,,んさん,,[NsaN],C,(形容詞),278,,良い。,,〔活用〕 んさ みぬん〈良くない〉(否定) んさぐ〈良く〉(連用 1)んさび〈良くて〉(連用 2) んさたん〈良かった〉(過去) んさる〈良い〉(連体) んさりゃ〈良ければ〉(条件 1) んさるば〈良ければ〉(条件 2),(語源)沖縄古語ミシャ〈善い〉に対応。,[misyaN>NsaN],,,【例】んさい=わるかや?,〈お元気でいらっしゃいますか?〉,んだんか゚ う むるんに いたんてぃん んさんど,〈あなたが思うようにしてもいいよ〉, んぬや いー=わしき ないてぃ んさたんがえー,〈昨日はいい天気になっ てよかったね〉,,,,,,,,,,,,,,,,
1602,1,,むぬん,,[munu-],,(動詞),268,,言う。話す。,,〔活用〕 むなぬん〈話さない〉(否定)むなみるん〈話させる〉(使役) むぬいてぃ〈話して〉(連用)むぬゎん〈話した〉(完了) むぬたん〈話した〉(過去) むぬ〈話す〉(連体) むぬいば〈話せば〉(条件 1) むぬば〈話せば〉(条件 2) むぬい〈話せ〉(命令) むの〈話そう〉(意志) むぬんな〈話すな〉(禁止),(語源)モノイウ〈物言う〉に対応。,[mono-iw->mono'iy->munuy->munu-],,,【例】‘とぅんか゚ はなし きー=ぶる=ばすや ‘とぅー むなぬんき ‘きー,〈人が話をしているときはじっと黙って聞きなさい〉,,,,,,,,,,,,,,,,,,,,
1548,1,,みぬん,,[minu-],,(動詞),259,,無い。「あん〈」ある〉の否定形。,,〔活用〕 みぬんき〈なく〉(連用1) みぬび〈なくて〉(連用2)みぬたん〈なかった〉(過去) みぬ〈ない〉(連体) みぬりゃ〈なければ〉(条件1) みぬば〈なければ〉(条件2) みぬたや〈なければ〉(条件3),(語源)沖縄方言ネー ン /neeN/、ネー ラン /neeraN/ に対応。,,,,【例】すーや でぃん みぬん。 いらみわり,〈今日はお金がない。貸してください〉,みぬん みぬん むぬ みぬんでぃ きでぃつぁらし,〈無い無いと 物が無いと騒ぎ出した〉,くどぅや なんどぅ いー=くとぅ みぬたん,〈去 年はあまりいいことがなかったよ〉,,,,,,,,,,,,,,,,
142,1,,あん,2,[ar-],C,(動詞),49,,(1)存在する。,,〔活用〕 みぬん〈ない〉(否定) あらみるん〈あらせる〉(使役)あい〈あって〉(連用) あたん〈あった〉(過去) ある〈ある〉(連体) ありゃ〈あれば〉(条件1)あるば〈あれば〉(条件2) ,,,,,【例】んなはが たいしく あん,〈空き墓がたくさんある〉,はぶでぃんたがらぬ でぃなが あん,〈先祖代々の土地がある〉,,,,,,,,,,,,,,,,,,
1446,1,,ぶん,,[bur-],A,(動詞),244,,いる。存在している。不規則動詞。,,〔活用〕 ぶらぬん〈いない〉(否定) ぶらみるん〈いさせる〉(使役)ぶい〈いて〉(連用) ぶたん〈いた〉(過去) ぶる〈いる〉(連体) ぶりゃ〈いれば〉(条件1) ぶるば〈いれば〉(条件2) ぶり〈いろ〉(命令) ぶろ〈いよう〉(意志)ぶんな〈いるな〉(禁止) ,,,,,【例】「んみ わるんか゚?」「あさんぎぬ まいばらにどぅ ぶる」,〈「どこにいらっしゃいますか?」「役場の前にいます」(目上に対して)〉,「んみば ぶ んか゚?」「しかまにどぅ ぶる」,〈「どこに居るの?」「仕事(職場)に居る」〉, ぬー きー=ぶたんか゚?,〈何をしていたの?〉,,,,,,,,,,,,,,,,
1363,1,,ひるん,2,[hir-],B,(動詞),231,,行く。去る。,,〔活用〕 ひらぬん〈行かない〉(否定) ひみるん〈行かせる〉(使役)ひー〈行って〉(連用) ひゅん〈行った〉(完了) ひたん〈行った〉(過去) ひる〈行く〉(連体) ひりゃ〈行けば〉(条件1) ひるば〈行けば〉(条件2) ひり〈行け〉(命令) ひろ〈行こう〉(意志) ひんな〈行くな〉(禁止),(語源)日本語ハシル〈走る〉に対応。,[pasir->pair->heer->hir-],,,【例】んにんか゚ ひるんす うまがら んなりるんさい,〈船が行くのがここから見えるよ〉,あぶたや きゃ-とぅないんき すくぬ てぃがないんき  ひゅん,〈お母さんは隣に法事の手伝いをしに行った〉,かまや とゎーるゆ んがら ひらぬん,〈あそこは遠いので行かない〉,はやぐ ひり,〈早く行け〉 ,だーんき くりゃ あがみや ぶらぬんすや。 みしやんきどぅ ひゅる= はでぃ,〈家に来たら子供がいないね。お店に行ったのだろう〉,,,,,,,,,,,,
1362,1,,ひるん,1,[hir-],A,(動詞),230,,くれる。あげる。くださる。,,〔活用〕 ひらぬん〈くれない〉(否定) ひー〈くれて〉(連用) ひゃん〈くれた〉(完了) ひたん〈くれた〉(過去) ひる〈くれる〉(連体) ひりゃ〈くれれば〉(条件1)ひるば〈くれれば〉(条件2) ひり〈くれ〉(命令) ひろ〈くれよう〉(意志) ひんな〈くれるな〉(禁止),,,,,【例】んだ まり-とぅちぬ どゎいんでぃ んどぅんがら ぬか ひろん でぃ うむい=ぶんか゚ ぬんか゚ まちかや?,〈おまえの生年祝いというので何かあげるつもりだけれど、何がいいかね?〉,,,,,,,,,,,,,,,,,,,,
